step:48/1794 for epoch:1/12 | train loss:2.5846 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:49/1794 for epoch:1/12 | train loss:2.5916 | train acc:0.1094 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:50/1794 for epoch:1/12 | train loss:2.6386 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:51/1794 for epoch:1/12 | train loss:2.5733 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:52/1794 for epoch:1/12 | train loss:2.5804 | train acc:0.1562 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:53/1794 for epoch:1/12 | train loss:2.5769 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:54/1794 for epoch:1/12 | train loss:2.6192 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:55/1794 for epoch:1/12 | train loss:2.5606 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:56/1794 for epoch:1/12 | train loss:2.5955 | train acc:0.1562 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:57/1794 for epoch:1/12 | train loss:2.5854 | train acc:0.1250 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:58/1794 for epoch:1/12 | train loss:2.5639 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:59/1794 for epoch:1/12 | train loss:2.5782 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
